Sr. No,Symbol,Series,Security Name,From,To
86,WELINV,EQ,WELSPUN INVESTMENTS AND COMMERCIALS LIMITED,10,20
87,YUKEN,EQ,YUKEN INDIA LIMITED,10,20
88,ZENTEC,EQ,ZEN TECHNOLOGIES LIMITED,10,20
89,BANARBEADS,BE,BANARAS BEADS LIMITED,20,5
90,NEELAM,ST,NEELAM LINENS AND GARMENTS (INDIA) LIMITED,20,5
91,STAR,BE,STRIDES PHARMA SCIENCE LIMITED,20,5
92,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LIMITED,5,10
93,AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,5,10
94,ABAN,EQ,ABAN OFFSHORE LIMITED,5,10
95,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,5,10
96,AKUMS,EQ,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,5,10
97,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,5,10
98,AMBICAAGAR,EQ,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,5,10
99,ARCHIDPLY,EQ,ARCHIDPLY INDUSTRIES LIMITED,5,10
100,ARVEE,EQ,ARVEE LABORATORIES (INDIA) LIMITED,5,10
101,ASIANHOTNR,EQ,ASIAN HOTELS (NORTH) LIMITED,5,10
102,ATULAUTO,EQ,ATUL AUTO LIMITED,5,10
103,AURIONPRO,EQ,AURIONPRO SOLUTIONS LIMITED,5,10
104,AWHCL,EQ,ANTONY WASTE HANDLING CELL LIMITED,5,20
105,BANKA,EQ,BANKA BIOLOO LIMITED,5,10
106,BGRENERGY,EQ,BGR ENERGY SYSTEMS LIMITED,5,10
107,BPL,EQ,BPL LIMITED,5,20
108,CINEVISTA,EQ,CINEVISTA LIMITED,5,10
109,COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,5,10
110,CTE,EQ,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,5,10
111,DCI,EQ,DC INFOTECH AND COMMUNICATION LIMITED,5,10
112,DCMNVL,EQ,DCM NOUVELLE LIMITED,5,10
113,DCXINDIA,EQ,DCX SYSTEMS LIMITED,5,10
114,DIGIDRIVE,EQ,DIGIDRIVE DISTRIBUTORS LIMITED,5,10
115,DIGIKORE,SM,DIGIKORE STUDIOS LIMITED,5,10
116,DNAMEDIA,EQ,DILIGENT MEDIA CORPORATION LIMITED,5,10
117,DRCSYSTEMS,EQ,DRC SYSTEMS INDIA LIMITED,5,10
118,DREDGECORP,EQ,DREDGING CORPORATION OF INDIA LIMITED,5,10
119,DUCON,EQ,DUCON INFRATECHNOLOGIES LIMITED,5,10
120,FUSION,EQ,FUSION FINANCE LIMITED,5,10
121,GENUSPOWER,EQ,GENUS POWER INFRASTRUCTURES LIMITED,5,10
122,GEPIL,EQ,GE POWER INDIA LIMITED,5,10
123,GLOBE,EQ,GLOBE TEXTILES (INDIA) LIMITED,5,10
124,GTLINFRA,EQ,GTL INFRASTRUCTURE LIMITED,5,10
125,GUJRAFFIA,EQ,GUJARAT RAFFIA INDUSTRIES LIMITED,5,10
126,HBSL,EQ,HB STOCKHOLDINGS LIMITED,5,10
127,HERITGFOOD,EQ,HERITAGE FOODS LIMITED,5,20
128,ICDSLTD,EQ,ICDS LIMITED,5,10
129,IFBAGRO,EQ,IFB AGRO INDUSTRIES LIMITED,5,10
130,INDOWIND,EQ,INDOWIND ENERGY LIMITED,5,10
131,JAIBALAJI,EQ,JAI BALAJI INDUSTRIES LIMITED,5,20
132,JHS,EQ,JHS SVENDGAARD LABORATORIES LIMITED,5,10
133,JNKINDIA,EQ,JNK INDIA LIMITED,5,10
134,JYOTISTRUC,EQ,JYOTI STRUCTURES LIMITED,5,10
135,KARMAENG,EQ,KARMA ENERGY LIMITED,5,10
136,KAUSHALYA,EQ,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,5,10
137,KBCGLOBAL,EQ,KBC GLOBAL LIMITED,5,10
138,KCEIL,SM,KAY CEE ENERGY & INFRA LIMITED,5,10
139,KHAITANLTD,EQ,KHAITAN (INDIA) LIMITED,5,10
140,KPEL,EQ,K.P. ENERGY LIMITED,5,10
141,KRISHCA,SM,KRISHCA STRAPPING SOLUTIONS LIMITED,5,10
142,KSHITIJPOL,EQ,KSHITIJ POLYLINE LIMITED,5,10
143,LIBERTSHOE,EQ,LIBERTY SHOES LIMITED,5,10
144,LLOYDSENT,EQ,LLOYDS ENTERPRISES LIMITED,5,10
145,MANAKALUCO,EQ,MANAKSIA ALUMINIUM COMPANY LIMITED,5,10
146,MARINE,EQ,MARINE ELECTRICALS (INDIA) LIMITED,5,10
147,MEDICO,EQ,MEDICO REMEDIES LIMITED,5,10
148,MEDIORG,ST,MEDICAMEN ORGANICS LIMITED,5,2
149,MIRCELECTR,EQ,MIRC ELECTRONICS LIMITED,5,10
150,MOHITIND,EQ,MOHIT INDUSTRIES LIMITED,5,10
151,MOTOGENFIN,EQ,THE MOTOR & GENERAL FINANCE LIMITED,5,10
152,MRO-TEK,EQ,MRO-TEK REALTY LIMITED,5,10
153,NARMADA,EQ,NARMADA AGROBASE LIMITED,5,10
154,NATHBIOGEN,EQ,NATH BIO-GENES (INDIA) LIMITED,5,10
155,NKIND,EQ,NK INDUSTRIES LIMITED,5,10
156,NPST,SM,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,5,10
157,OLIL,SM,ONECLICK LOGISTICS INDIA LIMITED,5,10
158,OMAXE,EQ,OMAXE LIMITED,5,10
159,ONELIFECAP,EQ,ONELIFE CAPITAL ADVISORS LIMITED,5,10
160,ONYX,SM,ONYX BIOTEC LIMITED,5,20
161,ORIANA,SM,ORIANA POWER LIMITED,5,10
162,PARAS,EQ,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,5,10
163,PFOCUS,EQ,PRIME FOCUS LIMITED,5,10
164,PKTEA,EQ,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED,5,10
165,PRAENG,EQ,PRAJAY ENGINEERS SYNDICATE LIMITED,5,10
166,PREMEXPLN,EQ,PREMIER EXPLOSIVES LIMITED,5,10
167,PROLIFE,SM,PROLIFE INDUSTRIES LIMITED,5,10
168,PTCIL,EQ,PTC INDUSTRIES LIMITED,5,10
169,PURVA,EQ,PURAVANKARA LIMITED,5,10
170,RELIABLE,EQ,RELIABLE DATA SERVICES LIMITED,5,10
171,RHL,EQ,ROBUST HOTELS LIMITED,5,10
172,RTNPOWER,EQ,RATTANINDIA POWER LIMITED,5,20
173,RVHL,EQ,RAVINDER HEIGHTS LIMITED,5,10
174,SAAKSHI,SM,SAAKSHI MEDTECH AND PANELS LIMITED,5,10
175,SADBHAV,EQ,SADBHAV ENGINEERING LIMITED,5,10
176,SADBHIN,EQ,SADBHAV INFRASTRUCTURE PROJECT LIMITED,5,10
177,SAGARDEEP,EQ,SAGARDEEP ALLOYS LIMITED,5,10
178,SAMPANN,EQ,SAMPANN UTPADAN INDIA LIMITED,5,10
179,SETCO,EQ,SETCO AUTOMOTIVE LIMITED,5,10
180,SILLYMONKS,EQ,SILLY MONKS ENTERTAINMENT LIMITED,5,10
181,SOLARA,EQ,SOLARA ACTIVE PHARMA SCIENCES LIMITED,5,10
182,SOLARAPP,E1,SOLARA ACTIVE PHARMA SCIENCES LIMITED,5,10
183,SOLEX,SM,SOLEX ENERGY LIMITED,5,10
184,SOUTHWEST,EQ,SOUTH WEST PINNACLE EXPLORATION LIMITED,5,10
185,STARTECK,EQ,STARTECK FINANCE LIMITED,5,10
